step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
9,CASH_IN,166.73,C1000019,36346.7,36513.43,C8313893,16543.47,16376.74,0,0
10,CASH_IN,3009.48,C1000019,36513.43,39522.91,C8239421,3072.26,62.78,0,0
11,PAYMENT,2202.22,C1000019,39522.91,37320.69,M1600839,0.0,0.0,0,0
12,CASH_IN,7963.94,C1000019,37320.69,45284.63,C8424470,15442.1,7478.16,0,0
13,CASH_IN,5657.98,C1000019,45284.63,50942.61,C8310961,7756.83,2098.85,0,0
1,PAYMENT,1012.12,C1000020,18306.5,17294.38,M1010727,0.0,0.0,0,0
2,CASH_IN,7913.61,C1000020,17294.38,25207.99,C8200480,11119.39,3205.78,0,0
3,CASH_IN,1175.69,C1000020,25207.99,26383.68,C8839068,8964.91,7789.22,0,0
4,TRANSFER,498.69,C1000020,26383.68,25884.99,C8835455,8675.58,9174.27,0,0
5,CASH_OUT,921.02,C1000020,25884.99,24963.97,C8755329,3618.53,4539.55,0,0
6,CASH_IN,404.96,C1000020,24963.97,25368.93,C8192560,4657.05,4252.09,0,0
7,CASH_OUT,3526.94,C1000020,25368.93,21841.99,C8292059,9865.8,13392.74,0,0
8,PAYMENT,1477.13,C1000020,21841.99,20364.86,M1840578,0.0,0.0,0,0
9,DEBIT,3901.91,C1000020,20364.86,16462.95,C8843587,13404.07,17305.98,0,0
10,CASH_IN,511.96,C1000020,16462.95,16974.91,C8743666,7332.17,6820.21,0,0
1,CASH_IN,6823.52,C1000021,67869.35,74692.87,C8430864,10095.83,3272.31,0,0
2,CASH_OUT,5104.64,C1000021,74692.87,69588.23,C8909551,6811.82,11916.46,0,0
1,CASH_IN,5065.12,C1000022,10188.42,15253.54,C8531410,3550.13,0.0,0,0
2,PAYMENT,1165.79,C1000022,15253.54,14087.75,M1259166,0.0,0.0,0,0
3,CASH_IN,3613.25,C1000022,14087.75,17701.0,C8024823,6150.7,2537.45,0,0
4,CASH_OUT,63.74,C1000022,17701.0,17637.26,C8415521,14060.67,14124.41,0,0
5,DEBIT,5891.2,C1000022,17637.26,11746.06,C8278021,12407.15,18298.35,0,0
6,CASH_OUT,4573.37,C1000022,11746.06,7172.69,C8650882,14413.92,18987.29,0,0
7,CASH_IN,6266.94,C1000022,7172.69,13439.63,C8903326,17336.03,11069.09,0,0
8,PAYMENT,4399.83,C1000022,13439.63,9039.8,M1809218,0.0,0.0,0,0
9,CASH_OUT,3931.53,C1000022,9039.8,5108.27,C8440088,19396.3,23327.83,0,0
10,CASH_IN,2341.41,C1000022,5108.27,7449.68,C8970353,14675.07,12333.66,0,0
11,TRANSFER,760.74,C1000022,7449.68,6688.94,C8749982,818.94,1579.68,0,0
12,CASH_IN,3943.11,C1000022,6688.94,10632.05,C8859827,19710.8,15767.69,0,0
13,CASH_IN,3322.03,C1000022,10632.05,13954.08,C8464972,15873.64,12551.61,0,0
14,PAYMENT,3341.66,C1000022,13954.08,10612.42,M1540411,0.0,0.0,0,0
15,CASH_IN,6589.54,C1000022,10612.42,17201.96,C8802058,739.41,0.0,0,0
16,TRANSFER,311.22,C1000022,17201.96,16890.74,C8368977,13506.11,13817.33,0,0
17,CASH_IN,6201.08,C1000022,16890.74,23091.82,C8109282,17309.13,11108.05,0,0
1,DEBIT,4996.41,C1000023,5819.17,822.76,C8800870,90.0,5086.41,0,0
2,CASH_OUT,563.7,C1000023,822.76,259.06,C8530609,8027.11,8590.81,0,0
3,CASH_IN,5389.32,C1000023,259.06,5648.38,C8029607,4753.17,0.0,0,0
4,CASH_IN,2816.85,C1000023,5648.38,8465.23,C8902532,17066.89,14250.04,0,0
5,CASH_OUT,2393.7,C1000023,8465.23,6071.53,C8298943,5496.5,7890.2,0,0
6,CASH_IN,1541.37,C1000023,6071.53,7612.9,C8675012,1696.23,154.86,0,0
7,CASH_IN,6469.08,C1000023,7612.9,14081.98,C8341926,19974.87,13505.79,0,0
8,PAYMENT,2459.49,C1000023,14081.98,11622.49,M1534167,0.0,0.0,0,0
9,CASH_OUT,5985.53,C1000023,11622.49,5636.96,C8136821,14017.62,20003.15,0,0
10,CASH_OUT,2223.92,C1000023,5636.96,3413.04,C8495801,9938.33,12162.25,0,0
11,PAYMENT,1259.74,C1000023,3413.04,2153.3,M1915297,0.0,0.0,0,0
1,DEBIT,1172.83,C1000024,3378.16,2205.33,C8201978,8407.64,9580.47,0,0
2,CASH_IN,6028.11,C1000024,2205.33,8233.44,C8980509,10817.13,4789.02,0,0
1,CASH_IN,4259.86,C1000025,20337.58,24597.44,C8215627,14846.36,10586.5,0,0
2,DEBIT,1810.31,C1000025,24597.44,22787.13,C8590744,4827.44,6637.75,0,0
3,PAYMENT,949.54,C1000025,22787.13,21837.59,M1347015,0.0,0.0,0,0
4,PAYMENT,3377.71,C1000025,21837.59,18459.88,M1874313,0.0,0.0,0,0
5,CASH_IN,6281.4,C1000025,18459.88,24741.28,C8860966,8767.73,2486.33,0,0
6,CASH_IN,5413.05,C1000025,24741.28,30154.33,C8476256,16292.77,10879.72,0,0
7,CASH_IN,6311.34,C1000025,30154.33,36465.67,C8171196,3703.59,0.0,0,0
8,PAYMENT,3924.47,C1000025,36465.67,32541.2,M1562170,0.0,0.0,0,0
9,CASH_IN,4126.22,C1000025,32541.2,36667.42,C8139668,8659.45,4533.23,0,0
1,PAYMENT,2741.6,C1000026,10034.21,7292.61,M1246066,0.0,0.0,0,0
2,CASH_OUT,1889.17,C1000026,7292.61,5403.44,C8047513,2232.01,4121.18,0,0
3,TRANSFER,345.85,C1000026,5403.44,5057.59,C8050960,13963.79,14309.64,0,0
4,TRANSFER,5057.59,C1000026,5057.59,0.0,C8207020,0.0,0.0,1,0
5,PAYMENT,31.82,C1000026,0.0,0.0,M1230550,0.0,0.0,0,0
6,PAYMENT,23.36,C1000026,0.0,0.0,M1416609,0.0,0.0,0,0
1,PAYMENT,2599.34,C1000027,41637.05,39037.71,M1001233,0.0,0.0,0,0
2,CASH_IN,6737.57,C1000027,39037.71,45775.28,C8229018,5206.97,0.0,0,0
3,PAYMENT,2889.58,C1000027,45775.28,42885.7,M1322490,0.0,0.0,0,0
4,CASH_IN,1864.61,C1000027,42885.7,44750.31,C8246867,6614.71,4750.1,0,0
5,PAYMENT,2775.4,C1000027,44750.31,41974.91,M1930383,0.0,0.0,0,0
6,CASH_IN,1246.11,C1000027,41974.91,43221.02,C8319015,947.48,0.0,0,0
7,CASH_IN,123.62,C1000027,43221.02,43344.64,C8138205,3766.44,3642.82,0,0
8,PAYMENT,681.56,C1000027,43344.64,42663.08,M1706262,0.0,0.0,0,0
1,CASH_IN,87.69,C1000028,46398.54,46486.23,C8533250,17067.39,16979.7,0,0
2,PAYMENT,4642.17,C1000028,46486.23,41844.06,M1619118,0.0,0.0,0,0
1,CASH_OUT,5908.2,C1000029,73665.91,67757.71,C8254263,7230.72,13138.92,0,0
2,CASH_IN,2581.27,C1000029,67757.71,70338.98,C8112967,15984.27,13403.0,0,0
3,PAYMENT,2495.88,C1000029,70338.98,67843.1,M1600733,0.0,0.0,0,0
4,PAYMENT,487.09,C1000029,67843.1,67356.01,M1861878,0.0,0.0,0,0
5,TRANSFER,133.82,C1000029,67356.01,67222.19,C8029834,3309.76,3443.58,0,0
6,CASH_IN,5679.33,C1000029,67222.19,72901.52,C8825949,14771.61,9092.28,0,0
7,CASH_IN,4770.95,C1000029,72901.52,77672.47,C8317152,2520.53,0.0,0,0
8,PAYMENT,4164.71,C1000029,77672.47,73507.76,M1060227,0.0,0.0,0,0
9,CASH_OUT,5950.81,C1000029,73507.76,67556.95,C8172943,80.15,6030.96,0,0
1,CASH_IN,7049.02,C1000030,47601.83,54650.85,C8993083,10724.01,3674.99,0,0
2,DEBIT,1653.66,C1000030,54650.85,52997.19,C8721611,11891.35,13545.01,0,0
1,PAYMENT,3582.37,C1000031,53762.44,50180.07,M1156260,0.0,0.0,0,0
1,CASH_OUT,2389.08,C1000032,21785.83,19396.75,C8751662,14515.39,16904.47,0,0
2,CASH_OUT,4555.36,C1000032,19396.75,14841.39,C8677620,19668.34,24223.7,0,0
3,TRANSFER,3097.21,C1000032,14841.39,11744.18,C8942621,15920.57,19017.78,0,0
4,CASH_OUT,2459.61,C1000032,11744.18,9284.57,C8012469,1881.44,4341.05,0,0
5,CASH_IN,3190.31,C1000032,9284.57,12474.88,C8468797,13651.63,10461.32,0,0
6,CASH_IN,1468.61,C1000032,12474.88,13943.49,C8149374,3990.84,2522.23,0,0
7,CASH_IN,7305.03,C1000032,13943.49,21248.52,C8342639,4242.95,0.0,0,0
8,CASH_IN,7033.01,C1000032,21248.52,28281.53,C8469800,7581.05,548.04,0,0
9,CASH_OUT,4455.46,C1000032,28281.53,23826.07,C8652775,15659.2,20114.66,0,0
1,CASH_IN,6394.87,C1000033,10159.98,16554.85,C8003245,1997.25,0.0,0,0
2,CASH_IN,233.96,C1000033,16554.85,16788.81,C8204397,19584.49,19350.53,0,0
3,TRANSFER,4321.49,C1000033,16788.81,12467.32,C8931267,7892.6,12214.09,0,0
4,PAYMENT,3660.27,C1000033,12467.32,8807.05,M1887570,0.0,0.0,0,0
5,CASH_OUT,2466.66,C1000033,8807.05,6340.39,C8010192,18707.63,21174.29,0,0
6,CASH_OUT,1196.52,C1000033,6340.39,5143.87,C8601774,7544.12,8740.64,0,0
7,TRANSFER,691.78,C1000033,5143.87,4452.09,C8332259,13691.24,14383.02,0,0
8,PAYMENT,4252.2,C1000033,4452.09,199.89,M1162871,0.0,0.0,0,0
9,PAYMENT,37.8,C1000033,199.89,162.09,M1472879,0.0,0.0,0,0
10,CASH_IN,2261.0,C1000033,162.09,2423.09,C8753503,4041.76,1780.76,0,0
11,PAYMENT,1274.44,C1000033,2423.09,1148.65,M1057046,0.0,0.0,0,0
12,PAYMENT,70.98,C1000033,1148.65,1077.67,M1468416,0.0,0.0,0,0
13,CASH_OUT,1034.66,C1000033,1077.67,43.01,C8244746,9910.13,10944.79,0,0
14,PAYMENT,27.57,C1000033,43.01,15.44,M1652518,0.0,0.0,0,0
15,PAYMENT,15.44,C1000033,15.44,0.0,M1301626,0.0,0.0,0,0
1,CASH_IN,620.99,C1000034,78796.35,79417.34,C8941278,2755.87,2134.88,0,0
2,CASH_OUT,599.93,C1000034,79417.34,78817.41,C8304466,16915.94,17515.87,0,0
3,CASH_OUT,3263.34,C1000034,78817.41,75554.07,C8520995,5065.11,8328.45,0,0
4,PAYMENT,5114.56,C1000034,75554.07,70439.51,M1165311,0.0,0.0,0,0
5,CASH_OUT,4416.07,C1000034,70439.51,66023.44,C8739811,7425.05,11841.12,0,0
6,TRANSFER,4564.89,C1000034,66023.44,61458.55,C8296032,15447.06,20011.95,0,0
7,PAYMENT,5650.4,C1000034,61458.55,55808.15,M1408477,0.0,0.0,0,0
8,CASH_IN,848.15,C1000034,55808.15,56656.3,C8120655,5290.8,4442.65,0,0
9,CASH_IN,1476.96,C1000034,56656.3,58133.26,C8061476,8271.36,6794.4,0,0
10,PAYMENT,4267.27,C1000034,58133.26,53865.99,M1449858,0.0,0.0,0,0
11,CASH_IN,7002.87,C1000034,53865.99,60868.86,C8534867,6786.44,0.0,0,0
12,PAYMENT,1483.88,C1000034,60868.86,59384.98,M1530849,0.0,0.0,0,0
13,PAYMENT,5641.31,C1000034,59384.98,53743.67,M1074315,0.0,0.0,0,0
14,CASH_IN,4165.41,C1000034,53743.67,57909.08,C8887987,9812.16,5646.75,0,0
15,CASH_OUT,3228.68,C1000034,57909.08,54680.4,C8825457,2635.1,5863.78,0,0
16,PAYMENT,5714.45,C1000034,54680.4,48965.95,M1434562,0.0,0.0,0,0
17,CASH_OUT,5720.17,C1000034,48965.95,43245.78,C8146713,11088.33,16808.5,0,0
1,TRANSFER,21748.4,C1000035,21748.4,0.0,C8118953,0.0,0.0,1,0
1,TRANSFER,3200.68,C1000036,49434.08,46233.4,C8321532,3744.78,6945.46,0,0
2,CASH_IN,6555.55,C1000036,46233.4,52788.95,C8370876,14832.29,8276.74,0,0
3,PAYMENT,5525.58,C1000036,52788.95,47263.37,M1468758,0.0,0.0,0,0
4,TRANSFER,319.64,C1000036,47263.37,46943.73,C8931802,15889.14,16208.78,0,0
5,DEBIT,4510.01,C1000036,46943.73,42433.72,C8342403,15872.71,20382.72,0,0
6,PAYMENT,5544.22,C1000036,42433.72,36889.5,M1531026,0.0,0.0,0,0
1,PAYMENT,154.06,C1000037,2180.08,2026.02,M1397520,0.0,0.0,0,0
2,PAYMENT,325.57,C1000037,2026.02,1700.45,M1458261,0.0,0.0,0,0
3,DEBIT,680.29,C1000037,1700.45,1020.16,C8153174,6383.13,7063.42,0,0
4,CASH_IN,3715.74,C1000037,1020.16,4735.9,C8921851,13199.03,9483.29,0,0
5,CASH_OUT,2249.6,C1000037,4735.9,2486.3,C8613918,6854.27,9103.87,0,0
6,PAYMENT,1692.38,C1000037,2486.3,793.92,M1950060,0.0,0.0,0,0
7,CASH_IN,370.02,C1000037,793.92,1163.94,C8289662,8992.65,8622.63,0,0
8,CASH_IN,7934.87,C1000037,1163.94,9098.81,C8892486,10628.28,2693.41,0,0
9,DEBIT,1828.83,C1000037,9098.81,7269.98,C8361185,7326.71,9155.54,0,0
10,CASH_IN,3254.96,C1000037,7269.98,10524.94,C8947534,11236.38,7981.42,0,0
11,CASH_IN,4096.03,C1000037,10524.94,14620.97,C8330435,18141.73,14045.7,0,0
1,CASH_OUT,772.33,C1000038,28704.27,27931.94,C8827232,13349.8,14122.13,0,0
2,DEBIT,3984.2,C1000038,27931.94,23947.74,C8091723,395.33,4379.53,0,0
3,PAYMENT,1202.9,C1000038,23947.74,22744.84,M1162410,0.0,0.0,0,0
4,CASH_IN,2011.11,C1000038,22744.84,24755.95,C8778150,13356.98,11345.87,0,0
5,PAYMENT,1665.41,C1000038,24755.95,23090.54,M1765891,0.0,0.0,0,0
6,PAYMENT,4054.92,C1000038,23090.54,19035.62,M1138654,0.0,0.0,0,0
7,CASH_IN,1660.05,C1000038,19035.62,20695.67,C8545966,10841.58,9181.53,0,0
